center_id,center_name,city,state,created_at
1,HealthBridge Center 1,West Brettmouth,Illinois,2020-02-28 19:00:57.079932
2,HealthBridge Center 2,Browntown,Colorado,2025-01-02 17:53:46.062267
3,HealthBridge Center 3,Aguirrechester,Virginia,2025-06-29 04:31:03.016521
4,HealthBridge Center 4,Meganmouth,Oklahoma,2024-05-31 14:12:37.196074
5,HealthBridge Center 5,North Petershire,Indiana,2024-10-09 12:21:51.099163
6,HealthBridge Center 6,North Victoria,Pennsylvania,2022-12-20 18:52:46.336698
7,HealthBridge Center 7,Montgomeryhaven,Kansas,2022-10-17 22:23:35.487967
8,HealthBridge Center 8,Peterborough,Wyoming,2021-02-08 07:31:26.179744
9,HealthBridge Center 9,Angelicaborough,Delaware,2021-11-15 01:24:51.047770
10,HealthBridge Center 10,Aguirremouth,Mississippi,2025-06-26 20:33:08.565816
